Tank,Treatment,Day,Hardness,Alkalinity,ABS,Copper,Alive,Dead,pH,Dissolved Oxygen,Specific Conductance,Temperature,Date
1,T,0,178.0,134.0,48081.12,0.54165,,,7.94,9.89,462.0,14.1,2017-10-10
3,C,0,178.0,130.0,318.22,0.00326,,,8.34,10.21,458.0,14.0,2017-10-10
6,T,1,186.0,140.0,,,,,8.34,9.44,499.0,13.7,2017-10-11
5,C,1,188.0,140.0,,,,,8.34,9.73,494.0,14.5,2017-10-11
8,T,2,174.0,127.0,17064.27,0.19171,17.0,8.0,8.38,9.35,521.0,14.4,2017-10-12
9,C,2,174.0,132.0,668.1,0.00754,25.0,0.0,8.35,8.39,521.0,16.2,2017-10-12
8,T,3,184.0,135.0,31986.06,0.35686,10.0,15.0,8.15,8.79,543.0,14.1,2017-10-13
9,C,3,178.0,136.0,482.02,0.00338,25.0,0.0,8.28,8.26,540.0,17.5,2017-10-13
4,T,4,192.0,139.0,26581.95,0.28934,9.0,16.0,8.14,8.64,482.0,12.8,2017-10-14
5,C,4,184.0,136.0,125.34,0.00145,25.0,0.0,8.3,8.62,479.0,14.1,2017-10-14
2,T,5,184.0,135.0,45465.76,0.49001,5.0,20.0,8.15,8.74,514.0,12.6,2017-10-15
3,C,5,176.0,137.0,497.26,0.0059,25.0,0.0,8.31,9.08,511.0,14.4,2017-10-15
6,T,6,188.0,138.0,15641.18,0.16882,1.0,24.0,8.07,8.45,526.0,12.4,2017-10-16
5,C,6,182.0,137.0,544.26,0.00391,25.0,0.0,8.32,8.71,523.0,14.6,2017-10-16
7,T,7,174.0,138.0,42840.15,0.46535,3.0,22.0,8.03,8.11,576.0,12.9,2017-10-17
9,C,7,180.0,138.0,642.39,0.00638,25.0,0.0,8.23,8.44,575.0,17.6,2017-10-17
1,T,8,174.0,139.0,22723.59,0.24771,1.0,49.0,8.11,8.45,476.0,13.2,2017-10-18
3,C,8,174.0,139.0,506.06,0.00431,50.0,0.0,8.21,8.68,485.0,16.3,2017-10-18
6,T,9,178.0,141.0,47233.16,0.51717,1.0,49.0,8.05,8.38,529.0,12.7,2017-10-19
5,C,9,174.0,138.0,773.18,0.00723,50.0,0.0,8.19,8.63,528.0,15.0,2017-10-19
8,T,10,176.0,139.0,37441.5,0.41024,2.0,48.0,7.93,8.26,498.0,13.2,2017-10-20
9,C,10,172.0,139.0,875.03,0.00744,50.0,0.0,8.12,8.7,497.0,15.5,2017-10-20
4,T,0,,,45324.09,0.5104,,,8.37,10.04,458.0,14.1,2017-10-10
6,T,0,,,46190.65,0.52022,,,8.38,9.88,458.0,14.1,2017-10-10
7,T,0,,,44510.16,0.50118,,,8.37,9.86,455.0,14.3,2017-10-10
8,T,0,,,45506.93,0.51247,,,8.37,9.81,457.0,14.2,2017-10-10
9,C,0,,,205.29,0.00199,,,8.37,10.17,461.0,13.9,2017-10-10
2,T,0,,,48237.82,0.54342,,,8.34,9.89,457.0,14.1,2017-10-10
5,C,0,,,344.16,0.00355,,,8.37,10.15,457.0,14.1,2017-10-10
