Mussel ID,Length
1,17.27
2,13.72
3,11.75
4,14.54
5,14.58
6,12.81
7,11.55
8,14.95
9,13.40
10,14.48
11,17.04
12,14.24
13,14.77
14,12.72
15,14.14
16,11.69
17,15.65
18,11.18
19,12.46
20,14.07
21,13.39
22,14.00
23,12.11
24,14.43
25,12.24
26,12.64
27,11.10
28,14.62
29,13.18
30,13.47
31,12.90
32,10.83
33,13.53
34,12.78
35,19.37
36,13.83
37,14.38
38,13.75
39,18.62
40,14.92
41,14.04
42,14.02
43,12.55
44,13.96
45,12.40
46,15.82
47,15.76
48,12.48
49,12.86
50,12.10
51,10.93
52,14.55
53,12.49
54,15.06
55,12.77
56,11.01
57,11.98
58,14.52
59,12.15
60,16.74
61,10.75
62,15.58
63,15.41
64,13.38
65,14.40
66,15.22
67,12.98
68,13.34
69,12.84
70,12.96
71,15.27
72,13.22
73,12.04
74,15.99
75,12.93
76,12.05
77,16.34
78,12.51
79,14.68
80,13.46
81,12.12
82,12.94
83,14.86
84,11.85
85,15.05
86,13.89
87,13.94
88,15.58
89,12.11
90,12.17
91,12.14
92,14.10
93,16.22
94,13.82
95,14.62
96,13.00
97,13.52
98,15.41
99,15.72
100,14.16
101,13.62
102,12.46
103,10.82
104,13.46
105,10.80
106,12.82
107,8.60
108,16.19
109,13.05
110,14.23
111,12.50
112,12.31
113,16.32
114,16.93
115,12.90
116,16.20
117,10.37
118,13.74
119,11.18
120,11.57
121,14.13
122,11.20
123,11.21
124,12.14
125,12.04
126,17.14
127,10.78
128,13.82
129,15.62
130,13.68
131,16.70
132,11.40
133,13.43
134,13.55
135,12.73
136,14.73
137,20.30
138,17.26
139,17.93
140,14.09
141,14.34
142,12.87
143,14.27
144,15.69
145,10.92
146,12.85
147,12.43
148,12.36
149,14.23
150,12.35
151,11.58
152,15.45
153,13.96
154,15.03
155,15.50
156,18.16
157,11.68
158,16.03
159,17.36
160,14.09
161,10.83
162,12.81
163,13.15
164,16.59
165,16.72
166,13.64
167,15.10
168,9.97
169,14.36
170,10.97
171,12.59
172,18.83
173,14.33
174,14.54
175,12.74
176,11.78
177,15.10
178,12.04
179,16.59
180,12.74
181,12.08
182,16.17
183,16.61
184,11.43
185,20.45
186,13.50
187,15.78
188,20.66
189,15.19
190,15.44
191,12.74
192,12.50
193,11.70
194,20.70
195,14.46
196,13.28
197,12.61
198,11.86
199,12.81
200,11.58
